年収,健康保険,厚生年金,社保合計,雇用保険,基礎控除,給与所得控除,課税所得,所得税,所得税+復興,住民税,手取り,税合計,税率%,増分%
120.0,6.8088,10.7604,17.569200000000002,0.72,48,55,0,0.0,0.0,1.0,100.7108,19.289199999999994,16.1,0.719999999998322,
120.5,6.8088,10.7604,17.569200000000002,0.7236,48,55,0,0.0,0.0,1.0,101.2072,19.2928,16.0,0.7200000000011642,
121.0,6.8088,10.7604,17.569200000000002,0.726,48,55,0,0.0,0.0,1.0,101.7048,19.295199999999994,15.9,0.4799999999988813,
121.5,7.2948,11.5284,18.8232,0.7296,48,55,0,0.0,0.0,1.0,100.9472,20.552800000000005,16.9,251.52000000000214,
122.0,7.2948,11.5284,18.8232,0.732,48,55,0,0.0,0.0,1.0,101.4448,20.5552,16.8,0.4799999999988813,
122.5,7.2948,11.5284,18.8232,0.7344,48,55,0,0.0,0.0,1.0,101.9424,20.557599999999994,16.8,0.4799999999988813,
123.0,7.2948,11.5284,18.8232,0.738,48,55,0.4,0.02,0.01958,1.04,102.3788,20.6212,16.8,12.720000000001619,
123.5,7.2948,11.5284,18.8232,0.7416,48,55,0.9,0.045,0.039055,1.09,102.8052,20.6948,16.8,14.7199999999998,
124.0,7.2948,11.5284,18.8232,0.744,48,55,1.4,0.07,0.06853000000000001,1.1400000000000001,103.2228,20.777199999999993,16.8,16.47999999999854,
124.5,7.2948,11.5284,18.8232,0.7464,48,55,1.9,0.095,0.088005,1.19,103.6504,20.849599999999995,16.7,14.48000000000036,
125.0,7.2948,11.5284,18.8232,0.75,48,55,2.4,0.12,0.11748,1.2400000000000002,104.0668,20.9332,16.7,16.720000000000823,
125.5,7.2948,11.5284,18.8232,0.7524,48,55,2.9,0.145,0.13695500000000002,1.29,104.4944,21.0056,16.7,14.48000000000036,
126.0,7.2948,11.5284,18.8232,0.756,48,55,3.4,0.17,0.16643000000000002,1.34,104.9108,21.089200000000005,16.7,16.720000000000823,
126.5,7.2948,11.5284,18.8232,0.7596,48,55,3.9,0.195,0.18590500000000001,1.3900000000000001,105.3372,21.162800000000004,16.7,14.7199999999998,
127.0,7.2948,11.5284,18.8232,0.762,48,55,4.4,0.22,0.21538,1.44,105.7548,21.245199999999997,16.7,16.47999999999854,
127.5,7.2948,11.5284,18.8232,0.7656,48,55,4.9,0.245,0.244855,1.4900000000000002,106.1712,21.3288,16.7,16.720000000000823,
128.0,7.2948,11.5284,18.8232,0.768,48,55,5.4,0.27,0.26433,1.54,106.5988,21.401200000000003,16.7,14.48000000000036,
128.5,7.6428,12.078,19.7208,0.7704,48,55,5.0,0.25,0.24475,1.5,106.2588,22.241200000000006,17.3,168.00000000000068,
129.0,7.6428,12.078,19.7208,0.774,48,55,5.5,0.275,0.27422500000000005,1.55,106.6752,22.324799999999996,17.3,16.71999999999798,
